time,memory,io_read_count,io_write_count,io_read,io_write,cpu_util_avg,cpu_util_min,cpu_util_max,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,cpu_util_6,cpu_util_7,gpu_util_avg,gpu_util_min,gpu_util_max,gpu_band_avg,gpu_band_min,gpu_band_max,gpu_mem_avg,gpu_mem_min,gpu_mem_max,gpu_power_avg,gpu_power_min,gpu_power_max,gpu_util_0,gpu_band_0,gpu_mem_0,gpu_power_0,cell_index
11775459.823776497,0.8259925842285156,0.004051561528295317,6.547515014600367e-05,0.027479521381121207,0.03861046675068929,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
11775460.816677038,1.370574951171875,76281.55778798836,781.548572002627,325897.69732332224,457906.89117580716,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
11775461.81812922,3.250213623046875,103456.76200537886,791.8500899578738,323114.77869978396,453996.7143756458,61.175,61.175,61.175,61.175,61.175,61.175,61.175,61.175,61.175,61.175,61.175,13.0,13.0,13.0,0.0,0.0,0.0,5.794921875,5.794921875,5.794921875,125.128,125.128,125.128,13.0,0.0,5.794921875,125.128,5
11775462.844444135,3.4624481201171875,127567.0829172904,784.3596418412114,315287.24266527523,442998.53083348804,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,47.0,47.0,47.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,168.143,168.143,168.143,47.0,0.0,5.95703125,168.143,5
11775463.849393029,3.469348907470703,157381.1375018433,806.0111366748424,321990.5032713484,452417.0362420212,13.725,13.725,13.725,13.725,13.725,13.725,13.725,13.725,13.725,13.725,13.725,56.0,56.0,56.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,233.264,233.264,233.264,56.0,0.0,5.95703125,233.264,5
11775464.847953975,3.4693603515625,185658.17205441525,811.1673132141062,324050.32577663375,455311.2172304601,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,64.0,64.0,64.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,232.658,232.658,232.658,64.0,0.0,5.95703125,232.658,5
11775465.837444756,3.4693641662597656,214885.27643435186,823.6559811030432,327020.7325021437,459484.8266802273,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,64.0,64.0,64.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,252.893,252.893,252.893,64.0,0.0,5.95703125,252.893,5
11775466.816936005,3.4693756103515625,244885.2915345359,837.1692968833019,330359.25580815406,464175.6632241152,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,59.0,59.0,59.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,261.696,261.696,261.696,59.0,0.0,5.95703125,261.696,5
11775467.839740928,3.4693756103515625,261143.63932049894,806.6054251023464,316369.2240925063,444518.7832185848,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,73.0,73.0,73.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,260.084,260.084,260.084,73.0,0.0,5.95703125,260.084,5
11775468.839286996,3.4693832397460938,294468.6688138469,830.3769348378307,323730.9519067044,454862.4767296732,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,65.0,65.0,65.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,259.882,259.882,259.882,65.0,0.0,5.95703125,259.882,5
11775469.849995285,3.4693832397460938,318159.06075913203,821.2062855839224,320155.68037878064,449838.99394993234,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,56.0,56.0,56.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,231.652,231.652,231.652,56.0,0.0,5.95703125,231.652,5
11775470.839362344,3.469409942626953,352550.6504417053,843.9739253754965,327061.6271481493,459542.2862461338,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,63.0,63.0,63.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,253.48,253.48,253.48,63.0,0.0,5.95703125,253.48,5
11775471.840186143,3.469409942626953,375728.47506231867,839.3085779957017,323317.6510740014,454281.762901445,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,62.0,62.0,62.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,256.773,256.773,256.773,62.0,0.0,5.95703125,256.773,5
11775472.823241267,3.4694137573242188,410225.2153823936,859.5652261195182,329161.6025191221,462492.88455218426,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,61.0,61.0,61.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,259.087,259.087,259.087,61.0,0.0,5.95703125,259.087,5
11775473.83675841,3.4694137573242188,424775.2520876724,841.6236525637421,319268.4032721992,448592.3134584065,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,72.0,72.0,72.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,260.406,260.406,260.406,72.0,0.0,5.95703125,260.406,5
11775474.837110508,3.4694175720214844,457591.8829618168,857.6980065258749,323470.1069273528,454495.9730245084,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,79.0,79.0,79.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,254.783,254.783,254.783,79.0,0.0,5.95703125,254.783,5
11775475.848819872,3.4694442749023438,479370.87190700136,848.0696437330039,319838.8899740097,449393.8833812035,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,62.0,62.0,62.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,230.671,230.671,230.671,62.0,0.0,5.95703125,230.671,5
11775476.849519512,3.4694442749023438,511861.8813012413,862.3966334055117,323357.76619222376,454338.12718147895,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,58.0,58.0,58.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,240.415,240.415,240.415,58.0,0.0,5.95703125,240.415,5
11775477.847718198,3.4694480895996094,540429.483103352,869.5663619159108,324167.9281730393,455476.4560405995,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,70.0,70.0,70.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,244.642,244.642,244.642,70.0,0.0,5.95703125,244.642,5
11775478.84965248,3.4694480895996094,565597.9737477115,871.3146313725131,322959.3054731309,453778.2646521206,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,59.0,59.0,59.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,230.693,230.693,230.693,59.0,0.0,5.95703125,230.693,5
11775479.848404298,3.469470977783203,594665.250895637,874.0910253212808,323988.396721147,455224.2029879407,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,61.0,61.0,61.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,239.884,239.884,239.884,61.0,0.0,5.95703125,239.884,5
11775480.847987097,3.469470977783203,621418.2562237452,878.3664552303811,323719.0558647695,454845.76203784073,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,55.0,55.0,55.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,240.772,240.772,240.772,55.0,0.0,5.95703125,240.772,5
11775481.849324755,3.4694747924804688,647528.8274861515,881.8204253121504,323151.7333003475,454048.6379283364,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,82.0,82.0,82.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,242.637,242.637,242.637,82.0,0.0,5.95703125,242.637,5
11775482.849475296,3.469482421875,675524.3060010982,882.8670924431117,323535.29472379596,454587.5660043209,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,59.0,59.0,59.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,228.407,228.407,228.407,59.0,0.0,5.95703125,228.407,5
11775483.849404017,3.4694900512695312,702912.1033670672,888.0633008897275,323607.0666161054,454688.4100555405,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,59.0,59.0,59.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,241.774,241.774,241.774,59.0,0.0,5.95703125,241.774,5
11775484.852104288,3.469493865966797,728131.8466285507,890.5951516636064,322712.58852846187,453431.61172986415,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,69.0,69.0,69.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,243.802,243.802,243.802,69.0,0.0,5.95703125,243.802,5
11775485.849079944,3.4695053100585938,759631.3861701031,900.7240989850616,324565.5978240336,456035.20706921176,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,61.0,61.0,61.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,229.663,229.663,229.663,61.0,0.0,5.95703125,229.663,5
11775486.850333404,3.4695167541503906,783582.8106016235,896.8758024131307,323178.90829404286,454086.82051441463,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,60.0,60.0,60.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,237.449,237.449,237.449,60.0,0.0,5.95703125,237.449,5
11775487.844242418,3.4695167541503906,816775.9706849187,908.5338667093063,325567.02405898576,457442.27431072685,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,60.0,60.0,60.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,239.257,239.257,239.257,60.0,0.0,5.95703125,239.257,5
11775488.849996552,3.469524383544922,834240.6676715668,906.7822536878042,321732.7069926693,452054.81615425687,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,82.0,82.0,82.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,244.509,244.509,244.509,82.0,0.0,5.95703125,244.509,5
11775489.851980716,3.469524383544922,864556.5778595672,910.1940256731434,322943.22763532726,453755.6742724218,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,62.0,62.0,62.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,229.443,229.443,229.443,62.0,0.0,5.95703125,229.443,5
11775490.850934744,3.4695472717285156,894445.5651139857,919.9622548597697,323922.8142291009,455132.0554358253,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,58.0,58.0,58.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,241.836,241.836,241.836,58.0,0.0,5.95703125,241.836,5
11775491.851962112,3.4695472717285156,919801.0258513119,923.0516862268336,323251.90133768803,454189.38036054897,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,70.0,70.0,70.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,244.089,244.089,244.089,70.0,0.0,5.95703125,244.089,5
11775492.850493873,3.4695701599121094,949375.9110725792,930.3659999730228,324059.79734690057,455324.5253861514,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,59.0,59.0,59.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,230.845,230.845,230.845,59.0,0.0,5.95703125,230.845,5
11775493.850706013,3.4695701599121094,975006.1618210261,928.8029633851613,323515.369326183,454559.5695595736,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,58.0,58.0,58.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,239.682,239.682,239.682,58.0,0.0,5.95703125,239.682,5
11775494.8520779,3.4695701599121094,1001075.6377658003,932.7204133808877,323140.6876268107,454033.1180579239,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,56.0,56.0,56.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,240.228,240.228,240.228,56.0,0.0,5.95703125,240.228,5
11775495.85117362,3.4695701599121094,1030616.965103066,939.8498863553212,323876.8750014912,455067.5079134877,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,12.475,88.0,88.0,88.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,245.866,245.866,245.866,88.0,0.0,5.95703125,245.866,5
