time,memory,io_read_count,io_write_count,io_read,io_write,cpu_util_avg,cpu_util_min,cpu_util_max,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,cpu_util_6,cpu_util_7,gpu_util_avg,gpu_util_min,gpu_util_max,gpu_band_avg,gpu_band_min,gpu_band_max,gpu_mem_avg,gpu_mem_min,gpu_mem_max,gpu_power_avg,gpu_power_min,gpu_power_max,gpu_util_0,gpu_band_0,gpu_mem_0,gpu_power_0,cell_index
11775459.823776497,1.0000724792480469,7.326798043656385,0.016774461715810204,0.17809512591308935,1.1019635915872403,10.625,10.625,10.625,10.625,10.625,10.625,10.625,10.625,10.625,10.625,10.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
11775460.816677038,1.9473304748535156,86927170.88111696,198946.411883978,2112147.1016397593,13068910.191396011,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
11775461.81812922,3.423931121826172,86217971.85731216,197264.53609239336,2094110.9708137894,12957311.631910322,67.125,67.125,67.125,67.125,67.125,67.125,67.125,67.125,67.125,67.125,67.125,0.0,0.0,0.0,0.0,0.0,0.0,5.794921875,5.794921875,5.794921875,131.35,131.35,131.35,0.0,0.0,5.794921875,131.35,5
11775462.844444135,3.636157989501953,84163902.95597585,192499.39458429682,2043380.6106914042,12643417.528653063,20.737499999999997,20.737499999999997,20.737499999999997,20.737499999999997,20.737499999999997,20.737499999999997,20.737499999999997,20.737499999999997,20.737499999999997,20.737499999999997,20.737499999999997,68.0,68.0,68.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,185.211,185.211,185.211,68.0,0.0,5.95703125,185.211,5
11775463.849393029,3.6430702209472656,85993966.01521993,196600.04729167733,2086824.5275307642,12912226.764096605,19.9625,19.9625,19.9625,19.9625,19.9625,19.9625,19.9625,19.9625,19.9625,19.9625,19.9625,41.0,41.0,41.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,245.133,245.133,245.133,41.0,0.0,5.95703125,245.133,5
11775464.847953975,3.6430740356445312,86571365.83265123,197857.72786870445,2100174.2632612213,12994828.253928807,18.975,18.975,18.975,18.975,18.975,18.975,18.975,18.975,18.975,18.975,18.975,55.0,55.0,55.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,226.296,226.296,226.296,55.0,0.0,5.95703125,226.296,5
11775465.837444756,3.6430892944335938,87397960.3068185,199680.4859611061,2119425.5068493364,13113945.32363027,19.425,19.425,19.425,19.425,19.425,19.425,19.425,19.425,19.425,19.425,19.425,92.0,92.0,92.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,252.127,252.127,252.127,92.0,0.0,5.95703125,252.127,5
11775466.816936005,3.643085479736328,88323573.19419609,201727.17240386782,2141062.5186553784,13247824.334180154,19.2375,19.2375,19.2375,19.2375,19.2375,19.2375,19.2375,19.2375,19.2375,19.2375,19.2375,85.0,85.0,85.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,261.972,261.972,261.972,85.0,0.0,5.95703125,261.972,5
11775467.839740928,3.6430931091308594,84617882.6711725,193191.28749569497,2050392.9460172558,12686806.353481771,19.425,19.425,19.425,19.425,19.425,19.425,19.425,19.425,19.425,19.425,19.425,86.0,86.0,86.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,259.123,259.123,259.123,86.0,0.0,5.95703125,259.123,5
11775468.839286996,3.6430931091308594,86622351.67560107,197695.7404645354,2098104.397167502,12982020.957473917,19.4125,19.4125,19.4125,19.4125,19.4125,19.4125,19.4125,19.4125,19.4125,19.4125,19.4125,40.0,40.0,40.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,258.148,258.148,258.148,40.0,0.0,5.95703125,258.148,5
