time,memory,io_read_count,io_write_count,io_read,io_write,cpu_util_avg,cpu_util_min,cpu_util_max,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,cpu_util_6,cpu_util_7,cpu_util_8,cpu_util_9,cpu_util_10,cpu_util_11,cpu_util_12,cpu_util_13,cpu_util_14,cpu_util_15,cpu_util_16,cpu_util_17,cpu_util_18,cpu_util_19,cpu_util_20,cpu_util_21,cpu_util_22,cpu_util_23,cpu_util_24,cpu_util_25,cpu_util_26,cpu_util_27,cpu_util_28,cpu_util_29,cpu_util_30,cpu_util_31,cpu_util_32,cpu_util_33,cpu_util_34,cpu_util_35,cpu_util_36,cpu_util_37,cpu_util_38,cpu_util_39,cpu_util_40,cpu_util_41,cpu_util_42,cpu_util_43,cpu_util_44,cpu_util_45,cpu_util_46,cpu_util_47,cpu_util_48,cpu_util_49,cpu_util_50,cpu_util_51,cpu_util_52,cpu_util_53,cpu_util_54,cpu_util_55,cpu_util_56,cpu_util_57,cpu_util_58,cpu_util_59,cpu_util_60,cpu_util_61,cpu_util_62,cpu_util_63,gpu_util_avg,gpu_util_min,gpu_util_max,gpu_band_avg,gpu_band_min,gpu_band_max,gpu_mem_avg,gpu_mem_min,gpu_mem_max,gpu_power_avg,gpu_power_min,gpu_power_max,gpu_util_0,gpu_band_0,gpu_mem_0,gpu_power_0,cell_index
11775459.823776497,78.82180404663086,7.326096584849374,0.016774461715810204,0.17809512591308935,1.1019635915872403,4.6875,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0,0.50225830078125,0.50225830078125,0.50225830078125,72.61,72.61,72.61,0,0.0,0.50225830078125,72.61,2
11775460.816677038,79.42667770385742,86918747.07666305,198945.40473375632,2112147.1016397593,13068910.191396011,14.7390625,0.0,100.0,4.1,78.1,5.1,8.1,0.0,0.0,65.3,76.0,42.1,28.6,17.5,2.0,0.0,0.0,72.0,71.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,78.1,4.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,52.6,47.0,1.0,0.0,0.0,0.0,1.0,0.0,6.1,0.0,0.0,1.0,1.0,0.0,0.0,64.3,44.6,0.0,0,0,0.0,0.0,0.0,0.50225830078125,0.50225830078125,0.50225830078125,72.492,72.492,72.492,0,0.0,0.50225830078125,72.492,5
11775461.81812922,81.44769287109375,86209759.78273483,197262.5389925448,2094110.9708137894,12957311.631910322,19.3390625,0.0,100.0,64.4,79.2,68.3,58.3,60.0,59.0,41.1,52.4,82.7,82.5,69.6,1.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,31.7,1.0,1.0,1.0,0.0,2.9,1.9,82.0,0.0,1.9,0.0,0.0,0.0,100.0,0.0,1.9,2.9,1.0,2.9,2.9,1.0,37.6,51.9,6.7,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.0,0.0,1.0,0.0,0.0,37.3,39.0,13.0,13,13,0.0,0.0,0.0,6.3031005859375,6.3031005859375,6.3031005859375,125.128,125.128,125.128,13,0.0,6.3031005859375,125.128,5
11775462.844444135,81.68769073486328,84155902.48762907,192498.4202244933,2043380.6106914042,12643417.528653063,14.3015625,0.0,100.0,3.9,87.0,1.0,28.2,33.7,0.0,45.3,55.4,21.0,17.5,25.0,1.0,0.0,1.0,54.5,54.4,1.0,1.0,1.0,0.0,2.9,1.9,1.0,1.0,42.2,2.9,2.0,2.9,1.0,7.8,6.8,1.9,81.8,1.9,1.0,1.0,0.0,0.0,100.0,0.0,0.0,2.9,1.0,1.0,1.0,0.0,41.4,56.2,3.0,1.0,1.9,1.9,2.9,3.8,18.4,1.9,0.0,0.0,1.0,0.0,0.0,0.0,42.6,41.5,47.0,47,47,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,168.143,168.143,168.143,47,0.0,6.4652099609375,168.143,5
11775463.849393029,81.40117263793945,85980389.2054066,196600.04729167733,2086824.5275307642,12912226.764096605,13.1796875,0.0,100.0,8.9,80.7,2.6,15.2,60.0,16.1,39.7,50.5,1.7,24.5,36.1,0.0,0.0,0.0,49.6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.2,0.0,0.9,0.0,0.0,14.3,0.9,0.9,82.9,0.9,0.0,4.4,0.0,0.0,100.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,35.1,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,36.9,36.5,56.0,56,56,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,233.264,233.264,233.264,56,0.0,6.4652099609375,233.264,5
11775464.847953975,81.40145874023438,86563150.00964184,197857.72786870445,2100174.2632612213,12994828.253928807,13.23125,0.0,100.0,35.8,77.3,3.0,1.0,25.5,27.8,38.2,50.5,5.1,45.7,22.9,1.0,0.0,0.0,49.5,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,3.0,1.0,0.0,48.5,0.0,1.0,78.1,2.0,1.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,33.0,50.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,35.7,39.2,64.0,64,64,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,232.658,232.658,232.658,64,0.0,6.4652099609375,232.658,5
11775465.837444756,81.39772415161133,87389669.17348234,199679.4753402704,2119425.5068493364,13113945.32363027,13.2734375,0.0,100.0,1.1,78.7,3.3,8.7,0.0,4.4,40.0,49.5,64.4,59.1,29.9,0.0,0.0,0.0,51.1,50.5,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,57.0,0.0,1.1,84.1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.1,1.1,0.0,0.0,0.0,0.0,34.8,49.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.1,0.0,0.0,0.0,0.0,0.0,36.0,38.7,64.0,64,64,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,252.893,252.893,252.893,64,0.0,6.4652099609375,252.893,5
11775466.816936005,81.3997917175293,88315197.41747458,201727.17240386782,2141062.5186553784,13247824.334180154,13.20625,0.0,100.0,5.0,83.3,0.0,2.0,0.0,5.1,39.2,49.0,41.7,47.9,62.9,0.0,1.0,0.0,50.5,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,57.0,0.0,2.0,0.0,77.3,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.7,49.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,37.4,38.2,59.0,59,59,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,261.696,261.696,261.696,59,0.0,6.4652099609375,261.696,5
11775467.839740928,81.39757919311523,84607193.43830869,193191.28749569497,2050392.9460172558,12686806.353481771,13.3625,0.0,100.0,2.0,77.9,0.0,1.0,0.0,5.9,37.3,52.5,58.8,60.2,38.9,0.0,0.0,0.0,48.5,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,1.0,2.0,9.1,1.0,1.0,0.0,78.1,2.0,1.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,35.1,51.5,33.3,2.0,1.0,0.0,0.0,0.0,16.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.7,38.2,73.0,73,73,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,260.084,260.084,260.084,73,0.0,6.4652099609375,260.084,5
11775468.839286996,81.39853286743164,86611401.70505673,197694.74001039704,2098104.397167502,12982020.957473917,13.303125,0.0,100.0,3.0,78.4,2.0,0.0,0.0,7.9,40.0,50.5,35.7,41.7,80.6,49.0,1.0,0.0,51.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,82.8,0.0,2.0,0.0,0.0,0.0,100.0,0.0,2.9,0.0,1.0,0.0,0.0,0.0,35.1,51.0,2.0,2.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.6,38.8,65.0,65,65,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,259.882,259.882,259.882,65,0.0,6.4652099609375,259.882,5
