time,memory,io_read_count,io_write_count,io_read,io_write,cpu_util_avg,cpu_util_min,cpu_util_max,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,cpu_util_6,cpu_util_7,gpu_util_avg,gpu_util_min,gpu_util_max,gpu_band_avg,gpu_band_min,gpu_band_max,gpu_mem_avg,gpu_mem_min,gpu_mem_max,gpu_power_avg,gpu_power_min,gpu_power_max,gpu_util_0,gpu_band_0,gpu_mem_0,gpu_power_0,cell_index
11775459.823776497,0.9993247985839844,7.326091234739828,0.016774376793436473,0.17809512591308935,1.1019635915872403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
11775460.816677038,1.1146087646484375,86918488.23905608,198944.39758353468,2112147.1016397593,13068910.191396011,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
11775461.81812922,2.9049453735351562,86209729.8262371,197262.5389925448,2094110.9708137894,12957311.631910322,64.325,64.325,64.325,64.325,64.325,64.325,64.325,64.325,64.325,64.325,64.325,16.0,16.0,16.0,0.0,0.0,0.0,5.79296875,5.79296875,5.79296875,112.609,112.609,112.609,16.0,0.0,5.79296875,112.609,5
11775462.844444135,3.6108016967773438,84153209.3571321,192498.4202244933,2043380.6106914042,12643417.528653063,11.787500000000001,11.787500000000001,11.787500000000001,11.787500000000001,11.787500000000001,11.787500000000001,11.787500000000001,11.787500000000001,11.787500000000001,11.787500000000001,11.787500000000001,3.0,3.0,3.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,146.813,146.813,146.813,3.0,0.0,5.95703125,146.813,5
11775463.849393029,3.6361656188964844,85980350.397463,196592.08668785833,2086824.5275307642,12912226.764096605,18.2875,18.2875,18.2875,18.2875,18.2875,18.2875,18.2875,18.2875,18.2875,18.2875,18.2875,50.0,50.0,50.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,234.322,234.322,234.322,50.0,0.0,5.95703125,234.322,5
11775464.847953975,3.6430702209472656,86563119.96640801,197857.72786870445,2100174.2632612213,12994828.253928807,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,47.0,47.0,47.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,233.867,233.867,233.867,47.0,0.0,5.95703125,233.867,5
11775465.837444756,3.6430740356445312,87389638.85485728,199678.4647194347,2119425.5068493364,13113945.32363027,19.65,19.65,19.65,19.65,19.65,19.65,19.65,19.65,19.65,19.65,19.65,64.0,64.0,64.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,249.075,249.075,249.075,64.0,0.0,5.95703125,249.075,5
11775466.816936005,3.643085479736328,88315166.78932957,201726.15146570088,2141062.5186553784,13247824.334180154,19.1375,19.1375,19.1375,19.1375,19.1375,19.1375,19.1375,19.1375,19.1375,19.1375,19.1375,71.0,71.0,71.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,258.943,258.943,258.943,71.0,0.0,5.95703125,258.943,5
11775467.839740928,3.643085479736328,84607164.10720232,193191.28749569497,2050392.9460172558,12686806.353481771,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,67.0,67.0,67.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,251.832,251.832,251.832,67.0,0.0,5.95703125,251.832,5
11775468.839286996,3.6430931091308594,86611371.69143258,197694.74001039704,2098104.397167502,12982020.957473917,19.625,19.625,19.625,19.625,19.625,19.625,19.625,19.625,19.625,19.625,19.625,66.0,66.0,66.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,256.56,256.56,256.56,66.0,0.0,5.95703125,256.56,5
11775469.849995285,3.6430931091308594,85689888.88649414,195513.38611491825,2074933.0171384267,12842700.647093114,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,48.0,48.0,48.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,249.506,249.506,249.506,48.0,0.0,5.95703125,249.506,5
11775470.839362344,3.6431198120117188,87571314.66586351,199745.8863240196,2119690.5455677523,13152845.436071776,20.200000000000003,20.200000000000003,20.200000000000003,20.200000000000003,20.200000000000003,20.200000000000003,20.200000000000003,20.200000000000003,20.200000000000003,20.200000000000003,20.200000000000003,62.0,62.0,62.0,0.0,0.0,0.0,5.95703125,5.95703125,5.95703125,250.056,250.056,250.056,62.0,0.0,5.95703125,250.056,5
