time,memory,io_read_count,io_write_count,io_read,io_write,cpu_util_avg,cpu_util_min,cpu_util_max,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,cpu_util_6,cpu_util_7,gpu_util_avg,gpu_util_min,gpu_util_max,gpu_band_avg,gpu_band_min,gpu_band_max,gpu_mem_avg,gpu_mem_min,gpu_mem_max,gpu_power_avg,gpu_power_min,gpu_power_max,gpu_util_0,gpu_band_0,gpu_mem_0,gpu_power_0,cell_index
11781774.925080968,0.8151206970214844,0.004062291149198056,6.747709959283037e-05,0.021902302636139234,0.04484757206447557,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
11781775.920817688,1.1388969421386719,76168.72861424624,803.4252266678576,259152.84111398415,530646.2937095866,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
11781776.93844891,3.077606201171875,102270.84015778244,802.8448643168155,253577.12551679998,519229.35224868567,98.65,98.65,98.65,98.65,98.65,98.65,98.65,98.65,98.65,98.65,98.65,6.0,6.0,6.0,0.0,0.0,0.0,5.794921875,5.794921875,5.794921875,107.211,107.211,107.211,6.0,0.0,5.794921875,107.211,5
11781777.92194802,3.536205291748047,133768.2959714193,844.9423001668387,262377.4617009054,537249.088244711,13.7375,13.7375,13.7375,13.7375,13.7375,13.7375,13.7375,13.7375,13.7375,13.7375,13.7375,99.0,99.0,99.0,0.0,0.0,0.0,58.4296875,58.4296875,58.4296875,199.245,199.245,199.245,99.0,0.0,58.4296875,199.245,5
11781778.91932207,3.5362586975097656,159396.5673651941,833.1879095250681,258727.40514696122,529775.1629199683,11.2375,11.2375,11.2375,11.2375,11.2375,11.2375,11.2375,11.2375,11.2375,11.2375,11.2375,100.0,100.0,100.0,0.0,0.0,0.0,58.4296875,58.4296875,58.4296875,622.691,622.691,622.691,100.0,0.0,58.4296875,622.691,5
11781779.920094265,3.5363121032714844,186265.16698114164,830.3588011379745,257848.89039236106,527976.2993748346,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,100.0,100.0,100.0,0.0,0.0,0.0,58.4296875,58.4296875,58.4296875,660.78,660.78,660.78,100.0,0.0,58.4296875,660.78,5
11781780.919075605,3.5363121032714844,214058.0524062783,831.8473697606494,258311.13125390618,528922.7925675221,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,100.0,100.0,100.0,0.0,0.0,0.0,58.4296875,58.4296875,58.4296875,669.485,669.485,669.485,100.0,0.0,58.4296875,669.485,5
11781781.920312157,3.5363121032714844,240973.0242351555,829.9736940594362,257729.30421738792,527731.4324451276,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,100.0,100.0,100.0,0.0,0.0,0.0,58.4296875,58.4296875,58.4296875,675.228,675.228,675.228,100.0,0.0,58.4296875,675.228,5
11781782.920204405,3.5505943298339844,268730.95634079975,831.0895516937151,258075.80822558337,528440.940652385,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,99.0,99.0,99.0,0.0,0.0,0.0,58.431640625,58.431640625,58.431640625,587.688,587.688,587.688,99.0,0.0,58.431640625,587.688,5
11781783.929504655,3.5505943298339844,293404.26680334256,823.3427065324623,255670.20305088907,523515.17767563,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,12.4875,99.0,99.0,99.0,0.0,0.0,0.0,58.431640625,58.431640625,58.431640625,544.324,544.324,544.324,99.0,0.0,58.431640625,544.324,5
