time,memory,io_read_count,io_write_count,io_read,io_write,cpu_util_avg,cpu_util_min,cpu_util_max,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,cpu_util_6,cpu_util_7,gpu_util_avg,gpu_util_min,gpu_util_max,gpu_band_avg,gpu_band_min,gpu_band_max,gpu_mem_avg,gpu_mem_min,gpu_mem_max,gpu_power_avg,gpu_power_min,gpu_power_max,gpu_util_0,gpu_band_0,gpu_mem_0,gpu_power_0,cell_index
11781774.925080968,0.9744338989257812,3.1799790131997048,0.002619384617024324,3.0969160616306075,0.3417454522432518,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
11781775.920817688,1.5629730224609375,37660063.393541425,31001.16665251262,36643389.02608525,4043607.0288102604,17.6625,17.6625,17.6625,17.6625,17.6625,17.6625,17.6625,17.6625,17.6625,17.6625,17.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
11781776.93844891,3.7792396545410156,36885349.23521909,30349.894289381697,35855000.54132785,3956608.1648097523,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,26.0,26.0,26.0,0.0,0.0,0.0,5.794921875,5.794921875,5.794921875,117.2,117.2,117.2,26.0,0.0,5.794921875,117.2,5
11781777.92194802,3.69488525390625,38201787.50313305,31424.53276649376,37099340.14018516,4098086.068471284,20.725,20.725,20.725,20.725,20.725,20.725,20.725,20.725,20.725,20.725,20.725,99.0,99.0,99.0,0.0,0.0,0.0,58.4296875,58.4296875,58.4296875,251.115,251.115,251.115,99.0,0.0,58.4296875,251.115,5
11781778.91932207,3.694957733154297,37703343.08173076,30987.37127771571,36583233.73093858,4041075.6613430134,21.0125,21.0125,21.0125,21.0125,21.0125,21.0125,21.0125,21.0125,21.0125,21.0125,21.0125,100.0,100.0,100.0,0.0,0.0,0.0,58.4296875,58.4296875,58.4296875,654.296,654.296,654.296,100.0,0.0,58.4296875,654.296,5
11781779.920094265,3.694957733154297,37608219.12360799,30882.152957846258,36459014.53357385,4027354.097556878,20.975,20.975,20.975,20.975,20.975,20.975,20.975,20.975,20.975,20.975,20.975,100.0,100.0,100.0,0.0,0.0,0.0,58.4296875,58.4296875,58.4296875,664.019,664.019,664.019,100.0,0.0,58.4296875,664.019,5
11781780.919075605,3.694957733154297,37708596.244042955,30937.514813264293,36524373.92396502,4034573.8595848205,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,100.0,100.0,100.0,0.0,0.0,0.0,58.4296875,58.4296875,58.4296875,669.503,669.503,669.503,100.0,0.0,58.4296875,669.503,5
11781781.920312157,3.6949691772460938,37656543.71153054,30867.830311192458,36442105.4280713,4025486.2753953924,21.4875,21.4875,21.4875,21.4875,21.4875,21.4875,21.4875,21.4875,21.4875,21.4875,21.4875,100.0,100.0,100.0,0.0,0.0,0.0,58.4296875,58.4296875,58.4296875,683.673,683.673,683.673,100.0,0.0,58.4296875,683.673,5
11781782.920204405,3.709239959716797,37745621.172183074,30911.33076263459,36491099.994817406,4030898.337999588,21.912499999999998,21.912499999999998,21.912499999999998,21.912499999999998,21.912499999999998,21.912499999999998,21.912499999999998,21.912499999999998,21.912499999999998,21.912499999999998,21.912499999999998,98.0,98.0,98.0,0.0,0.0,0.0,58.431640625,58.431640625,58.431640625,556.332,556.332,556.332,98.0,0.0,58.431640625,556.332,5
11781783.929504655,3.709239959716797,37426403.07385193,30624.187384129815,36150955.05995746,3997383.3334146943,21.325000000000003,21.325000000000003,21.325000000000003,21.325000000000003,21.325000000000003,21.325000000000003,21.325000000000003,21.325000000000003,21.325000000000003,21.325000000000003,21.325000000000003,98.0,98.0,98.0,0.0,0.0,0.0,58.431640625,58.431640625,58.431640625,543.396,543.396,543.396,98.0,0.0,58.431640625,543.396,5
11781784.920559796,3.7092437744140625,38148636.199628465,31187.972035061182,36816486.30569023,4070974.2940171612,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,99.0,99.0,99.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,544.03,544.03,544.03,99.0,0.0,58.43359375,544.03,5
11781785.920774752,3.7092437744140625,37832193.71645462,30904.35690140007,36479326.52432286,4033692.930675574,20.8375,20.8375,20.8375,20.8375,20.8375,20.8375,20.8375,20.8375,20.8375,20.8375,20.8375,99.0,99.0,99.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,544.556,544.556,544.556,99.0,0.0,58.43359375,544.556,5
11781786.91957349,3.7092437744140625,37918800.44050606,30948.176890456536,36531051.389337294,4039412.3954307633,20.8375,20.8375,20.8375,20.8375,20.8375,20.8375,20.8375,20.8375,20.8375,20.8375,20.8375,99.0,99.0,99.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,550.305,550.305,550.305,99.0,0.0,58.43359375,550.305,5
11781787.920466864,3.7092666625976562,37877849.879462704,30885.407751784165,36454600.37485366,4030958.842527038,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,98.0,98.0,98.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,551.037,551.037,551.037,98.0,0.0,58.43359375,551.037,5
11781788.927463412,3.7092666625976562,37680983.199768126,30699.2114992226,36233657.48333011,4010595.675635775,20.6375,20.6375,20.6375,20.6375,20.6375,20.6375,20.6375,20.6375,20.6375,20.6375,20.6375,99.0,99.0,99.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,544.809,544.809,544.809,99.0,0.0,58.43359375,544.809,5
11781789.921082895,3.7092666625976562,38221416.39845982,31113.52034661287,36721469.96468646,4064590.186930944,20.675,20.675,20.675,20.675,20.675,20.675,20.675,20.675,20.675,20.675,20.675,99.0,99.0,99.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,548.349,548.349,548.349,99.0,0.0,58.43359375,548.349,5
11781790.920925444,3.7092666625976562,38016453.73843197,30919.868372144858,36492913.85516209,4039291.9916019104,20.425,20.425,20.425,20.425,20.425,20.425,20.425,20.425,20.425,20.425,20.425,99.0,99.0,99.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,546.803,546.803,546.803,99.0,0.0,58.43359375,546.803,5
11781791.92733429,3.7092971801757812,37801130.376571484,30718.132221009826,36254816.46431178,4012937.7002482503,20.825,20.825,20.825,20.825,20.825,20.825,20.825,20.825,20.825,20.825,20.825,99.0,99.0,99.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,551.075,551.075,551.075,99.0,0.0,58.43359375,551.075,5
11781792.921840183,3.7092971801757812,38289436.242876895,31085.78863529333,36688739.84630239,4060967.387567822,21.2625,21.2625,21.2625,21.2625,21.2625,21.2625,21.2625,21.2625,21.2625,21.2625,21.2625,99.0,99.0,99.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,549.486,549.486,549.486,99.0,0.0,58.43359375,549.486,5
11781793.92135684,3.7092971801757812,38133201.43038224,30940.955105750367,36504812.3593084,4044706.9823346864,21.0625,21.0625,21.0625,21.0625,21.0625,21.0625,21.0625,21.0625,21.0625,21.0625,21.0625,95.0,95.0,95.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,558.916,558.916,558.916,95.0,0.0,58.43359375,558.916,5
11781794.922170956,3.7092971801757812,38116662.629243456,30900.843140662266,36457487.389736526,4039463.409706999,20.675,20.675,20.675,20.675,20.675,20.675,20.675,20.675,20.675,20.675,20.675,100.0,100.0,100.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,668.631,668.631,668.631,100.0,0.0,58.43359375,668.631,5
11781795.921178535,3.7092971801757812,38218546.89084767,30957.723096395293,36523414.605867215,4046768.0978885205,21.474999999999998,21.474999999999998,21.474999999999998,21.474999999999998,21.474999999999998,21.474999999999998,21.474999999999998,21.474999999999998,21.474999999999998,21.474999999999998,21.474999999999998,100.0,100.0,100.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,675.401,675.401,675.401,100.0,0.0,58.43359375,675.401,5
11781796.922039447,3.709308624267578,38180671.7738083,30901.396594441394,36455782.75271634,4039274.5371498684,21.575,21.575,21.575,21.575,21.575,21.575,21.575,21.575,21.575,21.575,21.575,100.0,100.0,100.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,685.376,685.376,685.376,100.0,0.0,58.43359375,685.376,5
11781797.921663446,3.7093124389648438,38260852.118672945,30939.633333085385,36500892.37204754,4044272.6505625197,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,100.0,100.0,100.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,686.147,686.147,686.147,100.0,0.0,58.43359375,686.147,5
11781798.920828514,3.7093124389648438,38316904.030420415,30956.84687912914,36517657.78116003,4050229.6685884716,21.725,21.725,21.725,21.725,21.725,21.725,21.725,21.725,21.725,21.725,21.725,99.0,99.0,99.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,577.329,577.329,577.329,99.0,0.0,58.43359375,577.329,5
11781799.92149238,3.7093353271484375,38292418.98957269,30910.479603403342,36462961.50302128,4044163.2201375193,20.725,20.725,20.725,20.725,20.725,20.725,20.725,20.725,20.725,20.725,20.725,99.0,99.0,99.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,547.97,547.97,547.97,99.0,0.0,58.43359375,547.97,5
11781800.922763543,3.7093353271484375,38302075.77843163,30891.731541584646,36440845.7071772,4041710.323157956,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,99.0,99.0,99.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,546.191,546.191,546.191,99.0,0.0,58.43359375,546.191,5
11781801.921237301,3.7093353271484375,38442368.3618654,30978.28035634866,36542941.3763924,4053033.9110771995,20.975,20.975,20.975,20.975,20.975,20.975,20.975,20.975,20.975,20.975,20.975,98.0,98.0,98.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,547.149,547.149,547.149,98.0,0.0,58.43359375,547.149,5
11781802.923963794,3.709369659423828,38312186.07739339,30846.896141158373,36387956.476706125,4035844.2971470198,20.7625,20.7625,20.7625,20.7625,20.7625,20.7625,20.7625,20.7625,20.7625,20.7625,20.7625,99.0,99.0,99.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,550.161,550.161,550.161,99.0,0.0,58.43359375,550.161,5
11781803.922992822,3.709369659423828,38489727.474681765,30962.063318276767,36522630.477195196,4050781.1979646226,22.4375,22.4375,22.4375,22.4375,22.4375,22.4375,22.4375,22.4375,22.4375,22.4375,22.4375,98.0,98.0,98.0,0.0,0.0,0.0,58.43359375,58.43359375,58.43359375,543.243,543.243,543.243,98.0,0.0,58.43359375,543.243,5
11781804.922393268,3.709369659423828,38508364.8367997,30951.557123954837,36509057.144258134,4049275.75870308,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,99.0,99.0,99.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,548.204,548.204,548.204,99.0,0.0,58.435546875,548.204,5
11781805.922430385,3.709369659423828,38519492.27470589,30933.851830390424,36485813.75860879,4050793.6469762116,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,99.0,99.0,99.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,547.226,547.226,547.226,99.0,0.0,58.435546875,547.226,5
11781806.92285016,3.7093772888183594,38537644.85920215,30923.019288834133,36471858.0249202,4049244.2284066104,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,99.0,99.0,99.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,550.055,550.055,550.055,99.0,0.0,58.435546875,550.055,5
11781807.923064588,3.7093772888183594,38578477.70538657,30930.36767210362,36479345.81742941,4050075.5515758516,21.0625,21.0625,21.0625,21.0625,21.0625,21.0625,21.0625,21.0625,21.0625,21.0625,21.0625,96.0,96.0,96.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,548.424,548.424,548.424,96.0,0.0,58.435546875,548.424,5
11781808.923092352,3.709400177001953,38618577.77107608,30937.141043006653,36486154.97691768,4050831.530329095,20.5875,20.5875,20.5875,20.5875,20.5875,20.5875,20.5875,20.5875,20.5875,20.5875,20.5875,97.0,97.0,97.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,548.693,548.693,548.693,97.0,0.0,58.435546875,548.693,5
11781809.923702188,3.709400177001953,38631758.977706425,30929.13831007828,36464930.386941396,4048475.095721266,20.9625,20.9625,20.9625,20.9625,20.9625,20.9625,20.9625,20.9625,20.9625,20.9625,20.9625,99.0,99.0,99.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,551.421,551.421,551.421,99.0,0.0,58.435546875,551.421,5
11781810.924402384,3.709400177001953,38663904.67888426,30927.34478911683,36461637.6979686,4052202.662886048,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,100.0,100.0,100.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,652.19,652.19,652.19,100.0,0.0,58.435546875,652.19,5
11781811.92433931,3.709400177001953,38726319.65303465,30950.95222365698,36489469.5642685,4055295.7867788295,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,100.0,100.0,100.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,679.329,679.329,679.329,100.0,0.0,58.435546875,679.329,5
11781812.923941176,3.70941162109375,38772237.505298704,30961.326724346767,36501700.529714376,4056655.088057615,21.0375,21.0375,21.0375,21.0375,21.0375,21.0375,21.0375,21.0375,21.0375,21.0375,21.0375,100.0,100.0,100.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,682.927,682.927,682.927,100.0,0.0,58.435546875,682.927,5
11781813.923470624,3.709423065185547,38807986.19855306,30963.56998816101,36504345.21431351,4056949.0078772306,20.8125,20.8125,20.8125,20.8125,20.8125,20.8125,20.8125,20.8125,20.8125,20.8125,20.8125,100.0,100.0,100.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,683.593,683.593,683.593,100.0,0.0,58.435546875,683.593,5
11781814.928855125,3.709423065185547,38617474.16902453,30785.23685919809,36291755.006344,4033322.570305406,20.5125,20.5125,20.5125,20.5125,20.5125,20.5125,20.5125,20.5125,20.5125,20.5125,20.5125,99.0,99.0,99.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,581.518,581.518,581.518,99.0,0.0,58.435546875,581.518,5
11781815.923639769,3.7094268798828125,39062056.53586519,31114.272009142216,36678459.22703766,4080416.8268965334,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,20.4625,98.0,98.0,98.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,551.88,551.88,551.88,98.0,0.0,58.435546875,551.88,5
11781816.924205732,3.7094573974609375,38869259.442528605,30935.491660480304,36466529.29856698,4056839.9792186664,21.212500000000002,21.212500000000002,21.212500000000002,21.212500000000002,21.212500000000002,21.212500000000002,21.212500000000002,21.212500000000002,21.212500000000002,21.212500000000002,21.212500000000002,99.0,99.0,99.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,546.688,546.688,546.688,99.0,0.0,58.435546875,546.688,5
11781817.931550438,3.7094573974609375,38640387.71313936,30727.316891752987,36221134.41729813,4029540.211892956,20.6125,20.6125,20.6125,20.6125,20.6125,20.6125,20.6125,20.6125,20.6125,20.6125,20.6125,99.0,99.0,99.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,544.778,544.778,544.778,99.0,0.0,58.435546875,544.778,5
11781818.930522876,3.70947265625,38997210.04038754,30985.83986303501,36524699.38307344,4063311.3031685883,20.8125,20.8125,20.8125,20.8125,20.8125,20.8125,20.8125,20.8125,20.8125,20.8125,20.8125,99.0,99.0,99.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,547.439,547.439,547.439,99.0,0.0,58.435546875,547.439,5
11781819.93111978,3.70947265625,38966826.57400989,30935.534478480044,36465401.682693474,4056714.533851508,20.775,20.775,20.775,20.775,20.775,20.775,20.775,20.775,20.775,20.775,20.775,99.0,99.0,99.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,546.53,546.53,546.53,99.0,0.0,58.435546875,546.53,5
11781820.924912756,3.709484100341797,39272322.19993002,31148.338447421855,36715059.21020644,4084488.513394093,23.8375,23.8375,23.8375,23.8375,23.8375,23.8375,23.8375,23.8375,23.8375,23.8375,23.8375,99.0,99.0,99.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,548.403,548.403,548.403,99.0,0.0,58.435546875,548.403,5
11781821.925438471,3.7094879150390625,39040983.57597334,30939.73452273862,36467996.23357552,4057003.173268224,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,99.0,99.0,99.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,549.903,549.903,549.903,99.0,0.0,58.435546875,549.903,5
11781822.926091995,3.709503173828125,39068923.52270808,30935.78272502248,36463338.3350366,4056484.98989911,21.075,21.075,21.075,21.075,21.075,21.075,21.075,21.075,21.075,21.075,21.075,99.0,99.0,99.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,548.056,548.056,548.056,99.0,0.0,58.435546875,548.056,5
11781823.925069816,3.709503173828125,39167440.12223155,30987.67494065796,36524502.56781164,4063289.407802125,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,99.0,99.0,99.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,550.848,550.848,550.848,99.0,0.0,58.435546875,550.848,5
11781824.929868244,3.7095413208007812,38973349.22008567,30808.169241982763,36312923.0812979,4039751.5462018657,20.5375,20.5375,20.5375,20.5375,20.5375,20.5375,20.5375,20.5375,20.5375,20.5375,20.5375,99.0,99.0,99.0,0.0,0.0,0.0,58.435546875,58.435546875,58.435546875,550.729,550.729,550.729,99.0,0.0,58.435546875,550.729,5
