time,memory,io_read_count,io_write_count,io_read,io_write,cpu_util_avg,cpu_util_min,cpu_util_max,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,cpu_util_6,cpu_util_7,cpu_util_8,cpu_util_9,cpu_util_10,cpu_util_11,cpu_util_12,cpu_util_13,cpu_util_14,cpu_util_15,cpu_util_16,cpu_util_17,cpu_util_18,cpu_util_19,cpu_util_20,cpu_util_21,cpu_util_22,cpu_util_23,cpu_util_24,cpu_util_25,cpu_util_26,cpu_util_27,cpu_util_28,cpu_util_29,cpu_util_30,cpu_util_31,cpu_util_32,cpu_util_33,cpu_util_34,cpu_util_35,cpu_util_36,cpu_util_37,cpu_util_38,cpu_util_39,cpu_util_40,cpu_util_41,cpu_util_42,cpu_util_43,cpu_util_44,cpu_util_45,cpu_util_46,cpu_util_47,cpu_util_48,cpu_util_49,cpu_util_50,cpu_util_51,cpu_util_52,cpu_util_53,cpu_util_54,cpu_util_55,cpu_util_56,cpu_util_57,cpu_util_58,cpu_util_59,cpu_util_60,cpu_util_61,cpu_util_62,cpu_util_63,gpu_util_avg,gpu_util_min,gpu_util_max,gpu_band_avg,gpu_band_min,gpu_band_max,gpu_mem_avg,gpu_mem_min,gpu_mem_max,gpu_power_avg,gpu_power_min,gpu_power_max,gpu_util_0,gpu_band_0,gpu_mem_0,gpu_power_0,cell_index
11781774.925080968,104.38071823120117,3.179274705058294,0.002619384617024324,3.0969160616306075,0.3417454522432518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.50225830078125,0.50225830078125,0.50225830078125,69.641,69.641,69.641,0,0.0,0.50225830078125,69.641,2
11781775.920817688,104.6460075378418,37651510.93200354,31000.162370979284,36643389.02608525,4043607.0288102604,37.6796875,0.0,100.0,17.5,54.7,100.0,69.8,96.9,80.2,70.5,75.0,80.0,45.3,66.7,33.7,10.5,44.9,78.1,69.5,100.0,100.0,0.0,17.7,0.0,70.8,1.0,0.0,2.1,13.5,0.0,25.0,0.0,2.1,2.1,3.1,95.9,100.0,0.0,0.0,100.0,38.3,100.0,0.0,7.6,3.1,30.9,4.2,5.2,33.3,74.0,43.6,5.2,10.4,100.0,50.0,100.0,14.6,1.1,14.4,1.1,19.1,1.1,2.1,1.1,1.0,76.6,46.9,0.0,0,0,0.0,0.0,0.0,0.50225830078125,0.50225830078125,0.50225830078125,69.575,69.575,69.575,0,0.0,0.50225830078125,69.575,5
11781776.93844891,106.99014282226562,36874532.939721495,30349.894289381697,35855000.54132785,3956608.1648097523,41.61875,0.0,100.0,15.9,43.5,89.7,10.4,100.0,96.3,44.2,45.0,52.8,42.6,47.7,1.9,89.8,75.7,63.3,49.1,81.3,29.9,3.8,9.3,66.7,12.0,0.9,1.9,0.9,0.9,0.9,3.7,0.0,0.9,0.9,0.9,0.9,36.1,50.5,53.3,100.0,100.0,100.0,42.6,66.7,54.2,69.2,55.6,50.5,77.4,46.8,42.9,43.9,62.6,100.0,8.5,99.1,100.0,52.8,4.7,3.7,56.0,1.9,0.9,0.0,0.0,61.7,38.3,6.0,6,6,0.0,0.0,0.0,6.3031005859375,6.3031005859375,6.3031005859375,107.211,107.211,107.211,6,0.0,6.3031005859375,107.211,5
11781777.92194802,107.5716323852539,38193390.952573754,31424.53276649376,37099340.14018516,4098086.068471284,38.1234375,0.0,100.0,6.5,5.7,99.1,8.4,99.1,100.0,46.8,48.1,100.0,93.4,58.5,0.9,1.9,49.5,59.4,44.9,100.0,100.0,33.6,7.6,38.1,36.5,1.9,25.2,2.9,4.7,3.8,3.8,2.8,4.8,3.8,2.9,48.6,27.4,17.0,41.1,100.0,100.0,100.0,0.0,18.3,18.1,31.1,31.1,22.6,29.9,49.1,44.7,0.0,100.0,100.0,15.1,14.3,100.0,100.0,11.3,3.8,2.8,11.1,1.9,1.9,0.9,63.6,39.6,99.0,99,99,0.0,0.0,0.0,58.9378662109375,58.9378662109375,58.9378662109375,199.245,199.245,199.245,99,0.0,58.9378662109375,199.245,5
11781778.91932207,107.47440719604492,37695057.323747225,30987.37127771571,36583233.73093858,4041075.6613430134,36.165625,0.0,100.0,2.4,17.1,100.0,7.2,48.2,100.0,43.2,41.7,97.6,74.1,26.5,96.4,46.4,1.2,61.6,47.1,100.0,100.0,34.1,17.6,4.7,72.6,1.2,22.6,1.2,0.0,1.2,2.4,0.0,1.2,1.2,3.5,1.2,100.0,0.0,100.0,100.0,100.0,80.2,16.7,1.2,1.2,0.0,53.6,0.0,0.0,46.0,41.5,5.8,100.0,77.4,14.5,2.4,100.0,100.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,59.0,37.3,100.0,100,100,0.0,0.0,0.0,58.9378662109375,58.9378662109375,58.9378662109375,622.691,622.691,622.691,100,0.0,58.9378662109375,622.691,5
11781779.920094265,107.49724578857422,37599961.50010306,30882.152957846258,36459014.53357385,4027354.097556878,36.3015625,0.0,100.0,6.1,58.4,69.3,73.0,81.8,34.7,42.7,44.1,35.4,100.0,67.0,100.0,5.9,70.7,58.6,44.6,40.8,93.1,35.7,8.1,35.4,41.4,2.0,19.2,1.0,3.0,0.0,1.0,14.9,0.0,1.0,0.0,1.0,100.0,0.0,100.0,98.0,100.0,12.0,33.0,1.0,2.0,0.0,42.0,5.0,0.0,46.7,42.4,4.1,100.0,47.0,37.0,52.0,100.0,100.0,1.0,9.0,0.0,2.0,0.0,1.0,0.0,59.6,38.6,100.0,100,100,0.0,0.0,0.0,58.9378662109375,58.9378662109375,58.9378662109375,660.78,660.78,660.78,100,0.0,58.9378662109375,660.78,5
11781780.919075605,107.4587631225586,37700323.817251496,30937.514813264293,36524373.92396502,4034573.8595848205,36.2484375,0.0,100.0,5.0,63.0,1.0,51.5,95.0,65.3,42.5,40.2,48.0,100.0,18.0,90.1,14.1,92.0,57.4,44.0,87.3,6.0,56.4,17.0,15.0,59.6,0.0,0.0,3.0,1.0,2.0,1.0,5.0,1.0,0.0,2.0,59.0,100.0,0.0,100.0,31.7,100.0,1.0,12.0,4.0,20.2,2.0,22.8,4.0,1.0,44.8,39.8,17.8,100.0,18.0,100.0,100.0,100.0,100.0,55.6,1.0,0.0,2.0,0.0,0.0,0.0,60.8,39.0,100.0,100,100,0.0,0.0,0.0,58.9378662109375,58.9378662109375,58.9378662109375,669.485,669.485,669.485,100,0.0,58.9378662109375,669.485,5
11781781.920312157,107.47851943969727,37648289.91777879,30867.830311192458,36442105.4280713,4025486.2753953924,36.0984375,0.0,100.0,5.9,1.0,2.0,93.0,15.0,94.0,40.6,43.1,66.0,66.7,46.0,76.0,42.4,51.5,59.8,44.1,100.0,100.0,7.0,18.8,27.3,41.7,1.0,47.5,0.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,94.0,100.0,0.0,100.0,57.8,59.4,58.0,1.0,7.1,22.8,1.0,13.0,5.0,0.0,45.7,40.2,1.0,6.0,13.0,100.0,80.8,100.0,100.0,100.0,1.0,3.9,0.0,2.0,0.0,0.0,60.2,37.0,100.0,100,100,0.0,0.0,0.0,58.9378662109375,58.9378662109375,58.9378662109375,675.228,675.228,675.228,100,0.0,58.9378662109375,675.228,5
11781782.920204405,105.7442741394043,37737356.281623274,30911.33076263459,36491099.994817406,4030898.337999588,36.628125,0.0,100.0,84.0,30.7,54.0,84.2,34.0,100.0,43.3,41.7,81.4,100.0,4.9,71.3,25.5,44.0,57.4,45.2,100.0,99.0,17.6,17.6,61.4,13.6,0.0,2.0,1.0,0.0,10.9,3.0,2.0,0.0,1.0,3.0,100.0,99.0,73.3,25.7,42.0,5.0,100.0,1.0,2.0,0.0,0.0,4.0,11.9,38.0,44.9,40.8,6.0,16.8,1.0,98.0,8.8,100.0,100.0,94.1,1.0,0.0,0.0,1.0,0.0,0.0,58.0,38.2,99.0,99,99,0.0,0.0,0.0,58.9398193359375,58.9398193359375,58.9398193359375,587.688,587.688,587.688,99,0.0,58.9398193359375,587.688,5
11781783.929504655,105.70883178710938,37418215.22291717,30624.187384129815,36150955.05995746,3997383.3334146943,36.446875,0.0,100.0,45.0,51.5,69.6,66.3,79.0,34.7,43.8,44.2,58.0,81.2,0.0,99.0,18.2,0.0,61.8,48.5,81.2,100.0,0.0,17.8,71.0,0.0,0.0,0.0,1.0,8.9,31.0,12.1,2.0,2.0,5.9,0.0,82.2,100.0,21.0,78.0,2.0,2.0,100.0,3.9,1.0,2.0,3.0,0.0,6.0,45.0,47.2,39.8,50.0,97.0,2.9,100.0,59.0,100.0,100.0,47.0,3.0,3.0,2.0,2.9,0.0,0.0,61.4,37.6,99.0,99,99,0.0,0.0,0.0,58.9398193359375,58.9398193359375,58.9398193359375,544.324,544.324,544.324,99,0.0,58.9398193359375,544.324,5
