time,memory,io_read_count,io_write_count,io_read,io_write,cpu_util_avg,cpu_util_min,cpu_util_max,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,cpu_util_6,cpu_util_7,gpu_util_avg,gpu_util_min,gpu_util_max,gpu_band_avg,gpu_band_min,gpu_band_max,gpu_mem_avg,gpu_mem_min,gpu_mem_max,gpu_power_avg,gpu_power_min,gpu_power_max,gpu_util_0,gpu_band_0,gpu_mem_0,gpu_power_0,cell_index
11781774.925080968,0.9737739562988281,3.17926901830902,0.0026192997401694906,3.0969160616306075,0.3417454522432518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
11781775.920817688,0.9762992858886719,37651277.93868781,30998.153807912615,36643389.02608525,4043607.0288102604,7.2125,7.2125,7.2125,7.2125,7.2125,7.2125,7.2125,7.2125,7.2125,7.2125,7.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
11781776.93844891,3.9852752685546875,36874503.45949392,30349.894289381697,35855000.54132785,3956608.1648097523,47.862500000000004,47.862500000000004,47.862500000000004,47.862500000000004,47.862500000000004,47.862500000000004,47.862500000000004,47.862500000000004,47.862500000000004,47.862500000000004,47.862500000000004,25.0,25.0,25.0,0.0,0.0,0.0,5.79296875,5.79296875,5.79296875,96.281,96.281,96.281,25.0,0.0,5.79296875,96.281,5
11781777.92194802,3.668853759765625,38193360.449241616,31423.515988755895,37099340.14018516,4093921.346856984,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,0.0,0.0,0.0,0.0,0.0,0.0,10.646484375,10.646484375,10.646484375,124.01,124.01,124.01,0.0,0.0,10.646484375,124.01,5
11781778.91932207,3.69488525390625,37695027.244761325,30987.37127771571,36583233.73093858,4041075.6613430134,17.8625,17.8625,17.8625,17.8625,17.8625,17.8625,17.8625,17.8625,17.8625,17.8625,17.8625,100.0,100.0,100.0,0.0,0.0,0.0,58.4296875,58.4296875,58.4296875,517.477,517.477,517.477,100.0,0.0,58.4296875,517.477,5
11781779.920094265,3.694957733154297,37599931.52325103,30882.152957846258,36459014.53357385,4027354.097556878,16.900000000000002,16.900000000000002,16.900000000000002,16.900000000000002,16.900000000000002,16.900000000000002,16.900000000000002,16.900000000000002,16.900000000000002,16.900000000000002,16.900000000000002,100.0,100.0,100.0,0.0,0.0,0.0,58.4296875,58.4296875,58.4296875,659.414,659.414,659.414,100.0,0.0,58.4296875,659.414,5
11781780.919075605,3.694957733154297,37700293.78666053,30937.514813264293,36524373.92396502,4034573.8595848205,16.725,16.725,16.725,16.725,16.725,16.725,16.725,16.725,16.725,16.725,16.725,100.0,100.0,100.0,0.0,0.0,0.0,58.4296875,58.4296875,58.4296875,668.48,668.48,668.48,100.0,0.0,58.4296875,668.48,5
11781781.920312157,3.694957733154297,37648259.954829544,30867.830311192458,36442105.4280713,4025486.2753953924,16.7875,16.7875,16.7875,16.7875,16.7875,16.7875,16.7875,16.7875,16.7875,16.7875,16.7875,100.0,100.0,100.0,0.0,0.0,0.0,58.4296875,58.4296875,58.4296875,673.323,673.323,673.323,100.0,0.0,58.4296875,673.323,5
11781782.920204405,3.709239959716797,37737314.277097195,30910.330654870817,36491099.994817406,4030898.337999588,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,99.0,99.0,99.0,0.0,0.0,0.0,58.431640625,58.431640625,58.431640625,602.845,602.845,602.845,99.0,0.0,58.431640625,602.845,5
11781783.929504655,3.709239959716797,37418185.49935376,30623.196598682727,36150955.05995746,3993325.0762234107,17.05,17.05,17.05,17.05,17.05,17.05,17.05,17.05,17.05,17.05,17.05,99.0,99.0,99.0,0.0,0.0,0.0,58.431640625,58.431640625,58.431640625,543.906,543.906,543.906,99.0,0.0,58.431640625,543.906,5
